Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0585192454024194,-1.67637819496746E-05,0.151552337128435,0,0,0,26.647418791939,0.595861553229968,-5.87175946958511E-05,0.00375746939189131,0.608863591294001,-1.57939781044652E-05,0.501908866217119,0,0,0,0,0,0,package://fujqr04_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/base_link.STL,,复合04-升降-1/底盘前壳-1;复合04-升降-1/升降前挡板-1;复合04-升降-1/美德乐_型材(1.11.30.033060.06-1000-改M12)-1;复合04-升降-1/2.05.00.50-000066-1;复合04-升降-1/2.05.00.15-000670-2;复合04-升降-1/2.05.00.15-000670-1;复合04-升降-1/2.05.00.15-000671-1;复合04-升降-1/C-TFK15-1/C-TFK15_b-1;复合04-升降-1/丝杆组件-1/C-TBSE2010-900-FP-F22-P12-KC20-1;复合04-升降-1/C-TFK15-1/C-TFK15_n-1;复合04-升降-1/C-TFK15-1/C-TFK15_c-2;复合04-升降-1/美德乐_型材(1.11.30.033060.06-1000-改M12)-2;复合04-升降-1/C-HLG20-810_r-1;复合04-升降-1/C-HLG20-810_r-2;复合04-升降-1/2.05.00.47-000677-1;复合04-升降-1/2.05.00.47-000678-1;复合04-升降-1/2.05.00.15-000679-1;复合04-升降-1/2.05.00.47-000683-1;复合04-升降-1/2.05.00.47-000683-2;复合04-升降-1/C-TFF15_b-1;复合04-升降-1/上左-1;复合04-升降-1/2.05.00.87-000032-1;复合04-升降-1/2.05.00.15-000688-1;复合04-升降-1/2.05.00.87-000032-2;复合04-底盘-1/2.05.00.47-000055-1;思南简化底盘-1/零件1-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/HMS-M01-012-HMS-4M0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/ZC_6201-21783870001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/ZC_6201-34476560001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_6_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/ZC_6201-21783870001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/ZC_6201-34476560001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_6_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/HMS-M01-012-HMS-4M0001-2;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/MRY2-M01-007-MRY2-0001-2;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/HMS-M01-012-HMS-4M0001-4;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/ZC_6201-12040420001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/ZC_6201-22798320001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/GFACE2-1705132-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/MRY2-M01-007-MRY2-0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/HMS-M01-012-HMS-4M0001-3;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/ZC_6201-12040420001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/GFACE2-1705132-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/ZC_6201-22798320001-1;复合04-升降-1/镜向上左-1;复合04-升降-1/底盘后壳-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,-0.000904107370642615,0.000627773631885153,-0.00018469891110226,0,0,0,0.906065331403416,0.00146490832006865,-2.68932350553715E-09,2.66391539023402E-08,0.00274396801108794,-2.65212662986043E-07,0.00146498413434211,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel_link.STL,,思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/6_5C-QDG-KAIMO-1;思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_7-1;思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/6_5C-HDG-KAIMO-1;思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_1_1-1;思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_1-1;思南简化底盘-1/01-0001_ASM-1/_1_AF0_ASM-1/MRY2-M01-048-MRY2-0001-1,right_wheel,right_wheel_axis,right_wheel_joint,continuous,0.00924308221084946,-0.163664282793204,-0.213500858738017,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_wheel_link,-1.23989030601512E-05,-0.000627774706009075,4.48483952431022E-06,0,0,0,0.906065281118617,0.00146490692546974,4.36963444339904E-09,-2.46401910031467E-08,0.00274396788517508,2.65187799226424E-07,0.00146498540258475,0,0,0,0,0,0,package://fujqr04_urdf/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/left_wheel_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_1-1;思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/MRY2-M01-048-MRY2-0001-1;思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/6_5C-HDG-KAIMO-1;思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_7-1;思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/6_5C-QDG-KAIMO-1;思南简化底盘-1/01-0001_ASM-1/_10002_ASM-1/ZLLG65ASM250-L_V3_08_ASM-1/PRODUCT1_ASM-1/_X2_96F64EF6_X0_1_1-1,left_wheel,left_wheel_axis,left_wheel_joint,continuous,0.00924308221084946,0.163635717206786,-0.213500858738017,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
r_wheel1_link,-0.0113137247197726,-0.000218433447863375,-0.0261993099863237,0,0,0,0.0428499821293494,1.52834000745033E-05,-3.4950707316608E-09,-1.01718859528849E-06,1.23944108861041E-05,7.98827275350381E-11,1.58388917660375E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/r_wheel1_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/r_wheel1_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/_1-36176880001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_10_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_5_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_8_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_9_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_7_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_1_0001-1,r_wheel1,r_wheel1_axis,r_wheel1_joint,revolute,0.183794709280946,-0.135014282793186,-0.203549999999998,0,0,0,base_link,0,0,1,10,10,-3.14,3.14,,,,,,,,
right_wheel1_link,7.80906843078633E-07,4.3178541853095E-09,-2.0320507282956E-06,0,0,0,0.110487149626156,4.38934678556913E-05,-4.47028176514792E-11,1.13193512494371E-08,7.47299398015464E-05,-4.56497658987084E-11,4.38712937378626E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel1_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel1_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-1/__1_4_0001-1,right_wheel1,right_wheel1_axis,right_wheel1_joint,continuous,-0.0205,0,-0.0432,0,0,0,r_wheel1_link,0,-1,0,,,,,,,,,,,,
r_wheel2_link,-0.014027793887006,-0.000231594026883664,-0.0222607688915356,0,0,0,0.0459567939136361,1.95859406220218E-05,8.47128518178421E-09,-1.86482178866713E-06,1.6680216642778E-05,2.39089350752865E-09,2.32978369433128E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/r_wheel2_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/r_wheel2_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/_1-6615120001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/ZC_6201-24726140001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/ZC_6201-17509610001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/GBT5782-2000-334620001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/GBT8891-200-3622430001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/21D-63-BR-1_2_ER_CE-1-SOLID1_1-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/21D-63-BR-1_2_ER_CE-1-SOLID2_1-1,r_wheel2,r_wheel2_axis,r_wheel2_joint,revolute,-0.166205254244258,-0.135013949211622,-0.213250000000002,0,0,0,base_link,0,0,1,10,10,-3.14,3.14,,,,,,,,
right_wheel2_link,-1.20284292748352E-07,7.29827309697839E-12,2.90073505299082E-07,0,0,0,0.0867602671682201,2.5469835297065E-05,1.42130721310809E-10,7.40808742693022E-09,3.80488317798568E-05,5.89476737928406E-11,2.54550425639356E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel2_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/right_wheel2_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-1/_2_10001-1,right_wheel2,right_wheel2_axis,right_wheel2_joint,continuous,-0.0265,0,-0.0395,0,0.00129839823615998,0,r_wheel2_link,0,-1,0,,,,,,,,,,,,
l_wheel1_link,-0.0113137249835045,-0.000218433396062562,-0.0261993098242906,0,0,0,0.0428499824901452,1.52834000799942E-05,-3.49504906661967E-09,-1.01718864900662E-06,1.23944110236126E-05,7.98913017200971E-11,1.5838891901709E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/l_wheel1_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/l_wheel1_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_5_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/_1-36176880001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_10_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_9_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_8_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_7_0001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_1_0001-1,l_wheel1,l_wheel1_axis,l_wheel1_joint,revolute,0.183794709280931,0.1349857172068,-0.203549999999998,0,0,0,base_link,0,0,1,10,10,-3.14,3.14,,,,,,,,
left_wheel1_link,7.80906836417294E-07,4.31786126298128E-09,-2.03205072363266E-06,0,0,0,0.11048714962617,4.3893467855692E-05,-4.47028054565614E-11,1.13193512583468E-08,7.47299398015534E-05,-4.564979020841E-11,4.38712937378724E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/left_wheel1_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/left_wheel1_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-75H-32-BR_0001_ASM-2/__1_4_0001-1,left_wheel1,left_wheel1_axis,left_wheel1_joint,continuous,-0.0205,0,-0.0432,0,0,0,l_wheel1_link,0,-1,0,,,,,,,,,,,,
l_wheel2_link,-0.0140277943962059,-0.000231594175131911,-0.0222607696617747,0,0,0,0.0459567928027875,1.95859408341884E-05,8.47139771002924E-09,-1.86482176681896E-06,1.66799725155158E-05,2.39079659159164E-09,2.32975929149454E-05,0,0,0,0,0,0,package://fujqr04_urdf/meshes/l_wheel2_link.STL,1,1,1,1,0,0,0,0,0,0,package://fujqr04_urdf/meshes/l_wheel2_link.STL,,思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/ZC_6201-17509610001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/_1-6615120001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/ZC_6201-24726140001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/GBT5782-2000-334620001-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/21D-63-BR-1_2_ER_CE-1-SOLID1_1-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/21D-63-BR-1_2_ER_CE-1-SOLID2_1-1;思南简化底盘-1/01-0001_ASM-1/_10001_ASM-1/AGV_23X-63H-32-BR_0001_ASM-2/GBT8891-200-3622430001-1,l_wheel2,l_wheel2_axis,l_wheel2_joint,revolute,-0.16620529071915,0.134985717206844,-0.213250000000002,0,0,0,base_link,0,0,1,10,10,-3.14,3.14,,,,,,,,
